"peer_assignment_id","peer_assignment_review_schema_part_id","peer_assignment_review_schema_part_option_id","peer_assignment_review_schema_part_option_text","peer_assignment_review_schema_part_option_score"
"S9qjoQ@8","4","22","Some text","1"
"Ha0UDw@3","111","No","Some text","0"
"S9qjoQ@6","444","6661","Some text","0"
"S9qjoQ@4","111","41","Some text","0"
"S9qjoQ@5","6","71","Some text","1"
"S9qjoQ@6","333","Yes","Some text","0"
"S9qjoQ@7","333","6662","Some text","0"
"S9qjoQ@3","444","5551","Some text","0"
"S9qjoQ@6","5","5551","Some text","0"
"S9qjoQ@6","333","52","Some text","0"
"Ha0UDw@2","444","Yes","Some text","0"
"S9qjoQ@1","6JIYOGvVU2lA16kFeSbivH","21","Some text","1"
"S9qjoQ@1","111","82","Some text","0"
"Ha0UDw@1","7","6661","Some text","1"
"Ha0UDw@2","3","No","Some text","1"
"S9qjoQ@3","3","22","Some text","1"
"S9qjoQ@8","111","7772","Some text","1"
"S9qjoQ@1","777","7772","Some text","1"
"Ha0UDw@1","4","No","Some text","0"
"S9qjoQ@7","K20zeiocLDtwL8nRc2Y5aN","32","Some text","1"
"Ha0UDw@3","555","Yes","Some text","1"
"Ha0UDw@2","2","5551","Some text","0"
"S9qjoQ@5","555","No","Some text","0"
"S9qjoQ@5","8","No","Some text","0"
"S9qjoQ@1","222","32","Some text","0"
"S9qjoQ@2","444","6661","Some text","0"
"Ha0UDw@2","8","42","Some text","0"
"Ha0UDw@1","777","72","Some text","0"
"P1p1aQ@2","222","51","Some text","1"
"S9qjoQ@3","7","7771","Some text","0"
"S9qjoQ@7","5","42","Some text","1"
"S9qjoQ@1","222","No","Some text","1"
"S9qjoQ@4","555","Yes","Some text","0"
"S9qjoQ@4","2","Yes","Some text","0"
"Ha0UDw@2","666","52","Some text","0"
"S9qjoQ@5","222","81","Some text","0"
"Ha0UDw@2","3","7772","Some text","0"
"S9qjoQ@8","6","62","Some text","1"
"S9qjoQ@8","4","31","Some text","0"
"S9qjoQ@8","777","52","Some text","1"
"Ha0UDw@3","555","51","Some text","1"
"S9qjoQ@7","4","6661","Some text","1"
"S9qjoQ@4","8","41","Some text","0"
"S9qjoQ@3","444","Yes","Some text","0"
"S9qjoQ@8","111","5552","Some text","1"
"Ha0UDw@3","3","No","Some text","1"
"S9qjoQ@7","5","72","Some text","1"
"S9qjoQ@6","222","7771","Some text","0"
"S9qjoQ@2","2","41","Some text","1"
"S9qjoQ@1","7","7771","Some text","0"
"S9qjoQ@6","7","Yes","Some text","1"
"Ha0UDw@2","4","61","Some text","1"
"S9qjoQ@3","8","Yes","Some text","1"
"1uEo4w@2","111","Yes","Some text","1"
"Ha0UDw@3","8","51","Some text","0"
"S9qjoQ@4","111","31","Some text","1"
"S9qjoQ@2","4","No","Some text","1"
"Ha0UDw@3","333","Yes","Some text","0"
"S9qjoQ@6","6","No","Some text","1"
"S9qjoQ@2","4","6662","Some text","1"
"S9qjoQ@1","444","41","Some text","1"
"S9qjoQ@1","8","81","Some text","0"
"S9qjoQ@4","4","22","Some text","1"
"S9qjoQ@2","777","51","Some text","1"
"S9qjoQ@2","111","5552","Some text","1"
"Ha0UDw@2","8","61","Some text","0"
"Ha0UDw@2","5","52","Some text","1"
"S9qjoQ@6","OiYBP8szIN9z0FfVffV-Qs","81","Some text","0"
"S9qjoQ@2","4","Yes","Some text","0"
"S9qjoQ@4","444","Yes","Some text","1"
"Ha0UDw@1","333","Yes","Some text","1"
"Ha0UDw@3","222","81","Some text","0"
"S9qjoQ@8","333","No","Some text","0"
"P1p1aQ@3","2","6661","Some text","0"
"Ha0UDw@2","4","62","Some text","1"
"S9qjoQ@1","444","6662","Some text","1"
"Ha0UDw@3","111","7771","Some text","0"
"S9qjoQ@5","6","52","Some text","1"
"Ha0UDw@3","5","7772","Some text","1"
"1uEo4w@4","777","72","Some text","1"
"S9qjoQ@1","3","No","Some text","1"
"S9qjoQ@7","777","51","Some text","1"
"S9qjoQ@2","5","82","Some text","1"
"Ha0UDw@3","333","31","Some text","0"
"S9qjoQ@6","6","72","Some text","0"
"S9qjoQ@8","111","62","Some text","0"
"Ha0UDw@1","444","51","Some text","0"
"S9qjoQ@1","777","No","Some text","0"
"S9qjoQ@1","333","7771","Some text","0"
"Ha0UDw@3","666","6662","Some text","1"
"S9qjoQ@4","111","Yes","Some text","1"
"S9qjoQ@8","777","32","Some text","1"
"S9qjoQ@5","7","62","Some text","0"
"S9qjoQ@5","2","62","Some text","1"
"Ha0UDw@1","777","Yes","Some text","1"
"S9qjoQ@6","8","7772","Some text","0"
"S9qjoQ@2","222","62","Some text","1"
"Ha0UDw@1","K20zeiocLDtwL8nRc2Y5aN","7772","Some text","1"
"P1p1aQ@2","555","42","Some text","1"
"S9qjoQ@2","111","Yes","Some text","0"
"S9qjoQ@8","7","22","Some text","1"
"S9qjoQ@2","666","No","Some text","0"
"S9qjoQ@6","6JIYOGvVU2lA16kFeSbivH","No","Some text","0"
"Ha0UDw@3","666","22","Some text","0"
"S9qjoQ@5","7","62","Some text","1"
"S9qjoQ@3","7","No","Some text","0"
"Ha0UDw@1","777","Yes","Some text","0"
"S9qjoQ@2","8","Yes","Some text","0"
"Ha0UDw@1","333","Yes","Some text","0"
"S9qjoQ@6","111","72","Some text","0"
"P1p1aQ@3","222","7771","Some text","0"
"S9qjoQ@6","444","Yes","Some text","0"
"S9qjoQ@2","222","5551","Some text","1"
"S9qjoQ@7","2","71","Some text","1"
"Ha0UDw@3","555","7771","Some text","1"
"S9qjoQ@4","7","5551","Some text","0"
"Ha0UDw@1","7","71","Some text","0"
"S9qjoQ@4","666","Yes","Some text","1"
"Ha0UDw@2","555","61","Some text","0"
"Ha0UDw@1","4","No","Some text","0"
"S9qjoQ@4","222","6662","Some text","0"
"S9qjoQ@4","666","6661","Some text","0"
"Ha0UDw@3","7","Yes","Some text","0"
"S9qjoQ@4","222","21","Some text","1"
"S9qjoQ@5","3","Yes","Some text","0"
"Ha0UDw@3","111","22","Some text","0"
"Ha0UDw@2","222","72","Some text","0"
"Ha0UDw@1","222","Yes","Some text","1"
"S9qjoQ@6","7","51","Some text","1"
"S9qjoQ@5","8","6662","Some text","1"
"Ha0UDw@2","444","31","Some text","0"
"S9qjoQ@1","2","Yes","Some text","0"
"S9qjoQ@6","333","5551","Some text","1"
"S9qjoQ@5","666","Yes","Some text","1"
"Ha0UDw@1","333","7772","Some text","1"
"S9qjoQ@4","7","61","Some text","1"
"S9qjoQ@8","777","31","Some text","1"
"S9qjoQ@1","6","61","Some text","1"
"S9qjoQ@5","3","Yes","Some text","1"
"Ha0UDw@1","SijUusI4nbSiZtldrHhtkX","No","Some text","1"
"S9qjoQ@3","6","No","Some text","0"
"S9qjoQ@5","666","71","Some text","0"
"S9qjoQ@7","666","5552","Some text","0"
"Ha0UDw@1","K20zeiocLDtwL8nRc2Y5aN","22","Some text","0"
"S9qjoQ@4","666","No","Some text","0"
"S9qjoQ@8","5","41","Some text","0"
"S9qjoQ@8","5","41","Some text","0"
"Ha0UDw@3","3","72","Some text","1"
"S9qjoQ@7","5","No","Some text","0"
"S9qjoQ@1","111","Yes","Some text","1"
"S9qjoQ@1","SijUusI4nbSiZtldrHhtkX","7772","Some text","1"
"S9qjoQ@5","555","5551","Some text","0"
"S9qjoQ@3","666","No","Some text","1"
"S9qjoQ@6","6","7771","Some text","1"
"S9qjoQ@4","6JIYOGvVU2lA16kFeSbivH","21","Some text","1"
"S9qjoQ@3","6","No","Some text","0"
"S9qjoQ@5","333","Yes","Some text","0"
"Ha0UDw@3","222","No","Some text","0"
"S9qjoQ@1","222","31","Some text","1"
"Ha0UDw@2","777","Yes","Some text","0"
"S9qjoQ@5","3","No","Some text","1"
"S9qjoQ@2","666","81","Some text","0"
"S9qjoQ@8","555","Yes","Some text","1"
"Ha0UDw@3","8","52","Some text","0"
"S9qjoQ@5","2","No","Some text","0"
"S9qjoQ@1","6","62","Some text","1"
"1uEo4w@2","5","6661","Some text","0"
"Ha0UDw@2","7","5552","Some text","0"
"Ha0UDw@2","5","31","Some text","1"
"S9qjoQ@6","777","82","Some text","0"
"S9qjoQ@3","4","21","Some text","1"
"S9qjoQ@6","444","72","Some text","0"
"Ha0UDw@1","7","7771","Some text","1"
"S9qjoQ@1","4","51","Some text","0"
"S9qjoQ@1","555","No","Some text","1"
"Ha0UDw@2","5","No","Some text","1"
"S9qjoQ@1","2","No","Some text","1"
"P1p1aQ@2","7","Yes","Some text","0"
"S9qjoQ@2","4","6662","Some text","1"
"Ha0UDw@1","4","31","Some text","1"
"S9qjoQ@3","6","No","Some text","0"
"S9qjoQ@7","222","22","Some text","1"
"Ha0UDw@1","8","5551","Some text","1"
"S9qjoQ@4","6","5552","Some text","1"
"S9qjoQ@2","SijUusI4nbSiZtldrHhtkX","81","Some text","1"
"1uEo4w@3","333","5551","Some text","0"
"Ha0UDw@2","OiYBP8szIN9z0FfVffV-Qs","No","Some text","1"
"S9qjoQ@6","6","No","Some text","0"
"S9qjoQ@7","7","82","Some text","1"
"S9qjoQ@4","4","6662","Some text","1"
"S9qjoQ@7","222","31","Some text","0"
"Ha0UDw@1","555","32","Some text","0"
"S9qjoQ@4","7","No","Some text","0"
"P1p1aQ@2","3","Yes","Some text","0"
"Ha0UDw@2","3","32","Some text","0"
"Ha0UDw@2","4","Yes","Some text","1"
"S9qjoQ@7","4","51","Some text","1"
"S9qjoQ@3","3","82","Some text","1"
"S9qjoQ@7","555","52","Some text","1"
"S9qjoQ@7","7","Yes","Some text","1"
"S9qjoQ@1","666","5551","Some text","1"
"S9qjoQ@7","6JIYOGvVU2lA16kFeSbivH","71","Some text","0"
"Ha0UDw@2","3","7772","Some text","0"
"S9qjoQ@4","K20zeiocLDtwL8nRc2Y5aN","52","Some text","0"
"1uEo4w@3","111","Yes","Some text","0"
"S9qjoQ@6","555","41","Some text","0"
"Ha0UDw@3","OiYBP8szIN9z0FfVffV-Qs","71","Some text","0"
"Ha0UDw@1","8","72","Some text","1"
"S9qjoQ@8","2","41","Some text","0"
"S9qjoQ@2","555","41","Some text","0"
"Ha0UDw@3","111","5551","Some text","1"
"S9qjoQ@3","777","41","Some text","0"
"S9qjoQ@1","333","32","Some text","1"
"S9qjoQ@3","5","21","Some text","1"
"Ha0UDw@3","6","32","Some text","0"
"S9qjoQ@7","6","7772","Some text","0"
"S9qjoQ@6","777","42","Some text","1"
"S9qjoQ@6","333","7772","Some text","1"
"S9qjoQ@8","6JIYOGvVU2lA16kFeSbivH","32","Some text","0"
"S9qjoQ@5","555","Yes","Some text","1"
"Ha0UDw@1","3","6662","Some text","0"
"1uEo4w@3","444","No","Some text","1"
"Ha0UDw@1","444","Yes","Some text","1"
"S9qjoQ@5","3","No","Some text","0"
"S9qjoQ@7","444","62","Some text","1"
"S9qjoQ@2","111","No","Some text","1"
"S9qjoQ@8","8","No","Some text","0"
"S9qjoQ@5","3","Yes","Some text","0"
"S9qjoQ@6","111","81","Some text","0"
"Ha0UDw@1","111","Yes","Some text","0"
"S9qjoQ@8","222","82","Some text","0"
"S9qjoQ@6","SijUusI4nbSiZtldrHhtkX","Yes","Some text","0"
"S9qjoQ@3","333","7771","Some text","1"
"Ha0UDw@3","3","61","Some text","0"
"1uEo4w@3","8","82","Some text","1"
"1uEo4w@2","777","Yes","Some text","0"
"S9qjoQ@7","4","82","Some text","0"
"S9qjoQ@3","333","72","Some text","1"
"Ha0UDw@1","444","71","Some text","0"
"S9qjoQ@4","777","42","Some text","1"
"S9qjoQ@7","5","6662","Some text","0"
"S9qjoQ@5","2","5552","Some text","0"
"S9qjoQ@5","8","41","Some text","1"
"S9qjoQ@3","666","No","Some text","1"
"S9qjoQ@8","555","No","Some text","1"
"S9qjoQ@5","6","21","Some text","1"
"S9qjoQ@2","444","5552","Some text","0"
"S9qjoQ@4","666","6662","Some text","1"
"S9qjoQ@5","8","6661","Some text","0"
"S9qjoQ@7","666","71","Some text","0"
"S9qjoQ@1","7","22","Some text","1"
"Ha0UDw@2","777","51","Some text","0"
"S9qjoQ@7","2","No","Some text","1"
"1uEo4w@4","2","6661","Some text","1"
"S9qjoQ@1","7","42","Some text","0"
"S9qjoQ@1","666","No","Some text","1"
"S9qjoQ@5","555","32","Some text","0"
"Ha0UDw@2","6","81","Some text","0"
"S9qjoQ@5","5","No","Some text","1"
"S9qjoQ@3","666","52","Some text","1"
"S9qjoQ@4","6","No","Some text","1"
"Ha0UDw@1","111","52","Some text","0"
"S9qjoQ@4","5","81","Some text","1"
"S9qjoQ@7","4","31","Some text","1"
"Ha0UDw@3","5","42","Some text","0"
"S9qjoQ@2","777","7771","Some text","1"
"S9qjoQ@2","5","Yes","Some text","1"
"S9qjoQ@4","3","21","Some text","1"
"Ha0UDw@3","5","No","Some text","1"
"S9qjoQ@3","5","No","Some text","1"
"S9qjoQ@8","2","No","Some text","1"
"Ha0UDw@2","444","Yes","Some text","1"
"S9qjoQ@7","333","No","Some text","0"
"S9qjoQ@6","666","42","Some text","1"
"S9qjoQ@5","OiYBP8szIN9z0FfVffV-Qs","Yes","Some text","1"
"S9qjoQ@4","6","81","Some text","0"
"S9qjoQ@2","3","5552","Some text","1"
"S9qjoQ@4","7","Yes","Some text","1"
"Ha0UDw@2","333","42","Some text","0"
"S9qjoQ@8","333","Yes","Some text","0"
"S9qjoQ@2","K20zeiocLDtwL8nRc2Y5aN","No","Some text","1"
"Ha0UDw@3","444","22","Some text","0"
"S9qjoQ@3","8","Yes","Some text","1"
"Ha0UDw@2","222","71","Some text","0"
"S9qjoQ@3","777","5552","Some text","1"
"P1p1aQ@3","111","6661","Some text","1"
"S9qjoQ@2","8","61","Some text","0"
"S9qjoQ@8","777","Yes","Some text","0"
"S9qjoQ@7","6","No","Some text","0"
"S9qjoQ@5","666","62","Some text","0"
"Ha0UDw@3","222","No","Some text","1"
"S9qjoQ@3","8","Yes","Some text","0"
"S9qjoQ@6","5","52","Some text","1"
"S9qjoQ@3","2","61","Some text","1"
"1uEo4w@4","8","Yes","Some text","0"
"S9qjoQ@2","555","21","Some text","1"
"S9qjoQ@8","4","81","Some text","1"
"S9qjoQ@8","K20zeiocLDtwL8nRc2Y5aN","32","Some text","0"
"S9qjoQ@8","2","61","Some text","1"
"S9qjoQ@8","555","5552","Some text","0"
"S9qjoQ@3","4","51","Some text","0"
"S9qjoQ@1","3","21","Some text","0"
"Ha0UDw@2","222","5552","Some text","0"
"S9qjoQ@3","666","42","Some text","0"
"S9qjoQ@3","444","21","Some text","0"
"Ha0UDw@3","6","Yes","Some text","0"
"1uEo4w@4","555","Yes","Some text","1"
"S9qjoQ@1","2","72","Some text","1"
"S9qjoQ@8","2","61","Some text","0"
"S9qjoQ@6","333","32","Some text","1"
"S9qjoQ@3","8","No","Some text","1"
"P1p1aQ@3","6","82","Some text","1"
"S9qjoQ@7","6JIYOGvVU2lA16kFeSbivH","No","Some text","0"
"S9qjoQ@8","5","Yes","Some text","0"
"Ha0UDw@1","2","22","Some text","1"
"Ha0UDw@2","666","No","Some text","1"
"S9qjoQ@7","333","31","Some text","1"
"S9qjoQ@7","222","21","Some text","1"
"S9qjoQ@4","444","62","Some text","1"
"S9qjoQ@6","444","No","Some text","1"
"Ha0UDw@1","2","6661","Some text","0"
"S9qjoQ@3","3","71","Some text","0"
"S9qjoQ@2","2","82","Some text","1"
"Ha0UDw@1","555","82","Some text","0"
"S9qjoQ@2","2","42","Some text","0"
"S9qjoQ@2","3","61","Some text","0"
"Ha0UDw@3","555","No","Some text","0"
"1uEo4w@2","777","71","Some text","1"
